Record Id,Village Owner.id,Rating,Village Name,Phone,Fax,Parent Village.id,Website,Ticker Symbol,Village Type,Ownership,Industry,Employees,Annual Revenue,SIC Code,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Last Activity Time,Billing Street,Shipping Street,Billing City,Shipping City,Billing Province,Shipping Province,Billing Code,Shipping Code,Billing Country,Shipping Country,Description,Layout.id,Village Number,Village Site,Score,Positive Score,Negative Score,Positive Touch Point Score,Touch Point Score,Negative Touch Point Score,Tag,Village Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Change Log Time,Households,Average Household Income,Road Conditions,Total Population,Latest Livelihoods Survey,Potential KHT Projects,Latest Education Survey,Potential Project Notes,Villagers Consulted,GPS Latitude,GPS Longitude,Latest WASH Survey,% Population Without Enough Rice,District.id,Nearest Town.id,Children (Aged 0 - 18),Distance to Town (km),Adult Males,Tribe,Forest Department,Adult Females,Season Accesibility,Average Annual HH Income (THB),Province,Village has Dorm,Distance to Hospital (km),Annual Malaria Cases,No. Children in Dorm,Nearest Health Centre,Distance to Pratom (km),Annual Typhoid Cases,No. Students at Uni,Distance to Health Centre (km),No. Children Go To Pratom,Annual Stomarch Ulcer Cases,No. Graduates,Annual Diabetes Cases,Nearest Mathayom (Seconary).id,Annual Cancer Cases,No. Children Go To Mathayom,Village Deaths in Last Year,Distance to Mathayom (km),Common Diseases,Nearest Pratom (Primary).id,Village Schools,Nearest Hospital.id,Latest non-KHT Clean Water Project,Latest non-KHT Rice Bank Project,Latest non-KHT Electricity Project,Sufficient Drinking Water in Dry Season,Non-KHT Projects Comments,Latest non-KHT Animal Bank Project,Previous Gov/Royal Aid Projects,General Comments,Latest non-KHT School Project,Previous Non-KHT NGO Projects,Current Water Sources,Latest non-KHT Solar Project,Latest non-KHT Road Project,Sufficient Drinking Water in Wet Season,Latest non-KHT Satelite Project,Village's Name,Name of Village,Latest non-KHT Irrigation Project,Number of People without Thai ID Cards,Are Any KHT Staff Connected to the Village?,No. Children Living Away in Dormitories,No. Children Who Don't Go to Mathayom but Should,No. Children Who Don't Go to Pratom but Should,Locked,Hosted KHT Projects,Last Enriched Time,Enrich Status,Record Status
zcrm_361303000001881606,zcrm_361303000000269001,,Ban Hua Taad,,,,,,Mooban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:21:57,,,2022-08-05 10:21:57,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:21:57,,53,,,233,,"Education Scholarship, Blankets,  Mosquito Nets, Latrine",,FALSE,,18.58668,98.02205,2010-04-21,40.0,zcrm_361303000001881247,zcrm_361303000000401954,88,23,73,,Mae La Noi,72,Dry Season,,Mae Hong Son,false,23,3,,Ban Mae Pang,,6,,10,11,,,,zcrm_361303000001881240,,14,,,Flu and Ulcer,zcrm_361303000001881120,No Schools,,,,,,,,Yes,,,No,Government Water System,,,,,Ban Hua Taad,Ban Hua Taad,,,,,,,false,Further Education Scholarships;WASH,,,1
zcrm_361303000001881607,zcrm_361303000000269001,,Ban Huang Puang (Tha Pha Pum),,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:21:57,,,2022-08-05 10:21:57,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:21:57,,44,,,184,,"Blankets, Education Scholarship, Mosquito Nets",,,,,,2006-09-23,40.0,,zcrm_361303000000401954,61,22,61,Sgaw,Mae La Noi,62,Dry Season,,Mae Hong Son,false,22,5,,Ban Mae Tai,,10,,35,101,,,,,,,,,"Flu, Ulcer",,Prathom (Primary),zcrm_361303000000521090,,,,,,,Yes,,,Yes,Government Water System,,,,,Ban Huang Puang (Tha Pha Pum),Ban Huang Puang (Tha Pha Pum),,,,,,,false,WASH,,,1
zcrm_361303000001881608,zcrm_361303000000269001,,Ban Huay Ba Ban,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 06:54:13,,,2022-08-05 06:54:13,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 06:54:13,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Huay Ba Ban,Ban Huay Ba Ban,,,,,,,false,Further Education Scholarships,,,1
zcrm_361303000001881609,zcrm_361303000000269001,,Ban Huay Chai Yong,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 06:57:20,,,2022-08-05 06:57:20,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 06:57:20,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Huay Chai Yong,Ban Huay Chai Yong,,,,,,,false,Further Education Scholarships,,,1
zcrm_361303000001881610,zcrm_361303000000269001,,Ban Huay Chang Kam,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 06:57:20,,,2022-08-05 06:57:20,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 06:57:20,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Huay Chang Kam,Ban Huay Chang Kam,,,,,,,false,Further Education Scholarships,,,1
zcrm_361303000001881611,zcrm_361303000000269001,,Ban Huay Dua,,,,,,Yomban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-12-02 14:35:27,,,2022-12-02 14:35:27,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-12-02 14:35:27,,120,,,426,2018-02-13,,,,,,,,,zcrm_361303000000521090,,,,,,,,,,Mae Hong Son,false,,,,,,,,,,,,,,,,,,,,,,2003-01-01,,,,,,Yes,,,,,,,,,Ban Huay Dua,Ban Huay Dua,,,,,,,false,Irrigation;Further Education Scholarships,,,1
zcrm_361303000001881613,zcrm_361303000000269001,,Ban Huay Hak Mai Ta,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 06:54:13,,,2022-08-05 06:54:13,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 06:54:13,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Huay Hak Mai Ta,Ban Huay Hak Mai Ta,,,,,,,false,Further Education Scholarships,,,1
zcrm_361303000001881614,zcrm_361303000000269001,,Ban Huay Hia,,,,,,Yomban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2023-09-11 08:40:15,,,2023-09-11 08:40:15,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,2022-07-25 11:25:16,,,2023-09-11 08:40:15,,48,,"Very Poor (not paved, inaccesible in wet season)",245,2019-10-28,"Mosquito Nets, Blankets, Water Repair, Water Extension, Latrines, Dam, Channel, Repair, Scholarship, School Meals, School Bus, Dormitory",,FALSE,Village Headman;Village Leader,18.46444,97.61937,2019-10-28,45.0,zcrm_361303000000521090,zcrm_361303000000521090,114,92,63,Sgaw,Mae Sariang,68,Dry Season,5000,Mae Hong Son,false,92,5,,Ban Sa La Jiang Tong,0,2,1,14,38,,0,,zcrm_361303000000704077,,38,15.0,36,Cholera,zcrm_361303000000704067,Prathom (Primary),zcrm_361303000000521090,,,,No,,,Yes,,2011-01-01,No,Government Water System;Stream/Spring,2007-01-01,,No,,Ban Huay Hia,Ban Huay Hia,,,,,,,false,Irrigation;Further Education Scholarships;WASH,,,1
zcrm_361303000001881615,zcrm_361303000000269001,,Ban Huay Hia Noi,,,,,,Yomban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:21:27,,,2022-08-05 10:21:27,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:21:27,,25,,Very Good (paved roads),87,,"Mosquito Nets, Blankets, Water Repair, Water Extension, Scholarship, School Meals.",,FALSE,Village Leader,18.07754,98.14618,2017-09-13,,zcrm_361303000001881208,zcrm_361303000000521090,34,50,27,Sgaw,Mae Sariang,26,All Seasons,,Mae Hong Son,false,50,1,,Ban Kong Pae,6,5,,7,16,11.0,,,zcrm_361303000001881121,,6,,25,,zcrm_361303000001881119,No Schools,zcrm_361303000000521090,2011-01-01,,,No,,,Yes,,,No,Government Water System,2006-01-01,2015-01-01,No,,Ban Huay Hia Noi,Ban Huay Hia Noi,,,,,,,false,WASH,,,1
zcrm_361303000001881616,zcrm_361303000000269001,,Ban Huay Hom,,,,,,Mooban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-12-06 16:15:08,,,2022-12-06 16:15:08,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-12-06 16:15:08,,89,,,316,,"Mosquito Nets, Blankets, Education Scholarship",,FALSE,,19.17179,98.28864,2017-11-20,45.0,zcrm_361303000001881111,zcrm_361303000001881230,80,45,119,Sgaw,Kanlaya Niwattana,117,All Seasons,5000,Chiang Mai,false,6,,,Ban Huay Bong,2,20,,11,67,,13,,zcrm_361303000001881245,,67,,2,"Typhoid,Ulcer",zcrm_361303000001881245,No Schools,zcrm_361303000001881260,,,,,,,Yes,,,No,Government Water System,,,,,Ban Huay Hom,Ban Huay Hom,,,,,,,false,WASH,,,1
zcrm_361303000001881619,zcrm_361303000000269001,,Ban Huay Keaw,,,,,,Mooban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-10-11 10:37:27,,,2022-10-11 10:37:27,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-10-11 10:37:27,,45,,,189,,"Education Scholarship, Blankets,  Mosquito Nets, Latrine",,FALSE,,19.23504,97.91825,2010-09-14,80.0,zcrm_361303000001881226,zcrm_361303000000716157,68,20,55,,Muang,66,All Seasons,1800,Mae Hong Son,false,20,6,,Ban Pa Pong,,8,,5,16,,2,,zcrm_361303000001881253,,7,,,Flu and skin infection,,Prathom (Primary),zcrm_361303000000716157,,,,,,,Yes,,,No,Government Water System,,,,,Ban Huay Keaw,Ban Huay Keaw,,,,,,,false,WASH,,,1
zcrm_361303000001881620,zcrm_361303000000269001,,Ban Huay Kong Paw,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2024-01-19 07:50:44,,,2024-01-19 07:50:44,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2024-01-19 07:50:44,,52,,,519,,"Latrine instillation, Irrigation, Agriculture, Education",,,,18.53264,97.84733,2004-10-14,30.0,,zcrm_361303000000401954,166,34,178,,Mae La Noi,175,Dry Season,,Mae Hong Son,false,34,4,,Ban Mae Su,,2,,13,80,,,,,,,,,"Flu, Ulcer, Stomach",,Prathom (Primary),,,,,,,,Yes,,,Yes,,,,,,Ban Huay Kong Paw,Ban Huay Kong Paw,,,,,,,false,Irrigation;School Buses;WASH,,,1
zcrm_361303000001881624,zcrm_361303000000269001,,Ban Huay Ma Nam,,,,,,Yomban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-12-28 14:34:52,,,2022-12-28 14:34:52,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-12-28 14:34:52,,65,,,344,,"Latrine, Blankets,  Mosquito Nets, Blankets",,FALSE,,17.64024,98.09067,2014-09-26,50.0,zcrm_361303000001881219,zcrm_361303000000521090,125,104,111,Pwo,Mae Sariang,108,Dry Season,3000,Mae Hong Son,false,84,5,,Ban Na Doi,4,7,,12,23,,1,,zcrm_361303000001881200,,13,,4,Flu and Ulcer,zcrm_361303000001881200,,zcrm_361303000001611586,1990-01-01,,,,,,Yes,,,No,Government Water System,,,,,Ban Huay Ma Nam,Ban Huay Ma Nam,,,,,,,false,WASH,,,1
zcrm_361303000001881625,zcrm_361303000000269001,,Ban Huay Maak Lang,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:21:58,,,2022-08-05 10:21:58,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:21:58,,45,,,251,,"Blankets, Mosquito Nets, Education, Latrine, school equipment",,,,18.87872,98.0117,2003-10-27,60.0,,zcrm_361303000000461057,102,50,76,,Khun Yuam,73,Dry Season,,Mae Hong Son,false,50,5,,Ban Paw Naw Khi,3,2,,5,258,,,,,,,,,,zcrm_361303000001881169,No Schools,zcrm_361303000000461057,,,,,,,Yes,,,No,Government Water System,,,,,Ban Huay Maak Lang,Ban Huay Maak Lang,,,,,,,false,Further Education Scholarships;WASH,,,1
zcrm_361303000001881626,zcrm_361303000000269001,,Ban Huay Mai Sand,,,,,,Mooban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:38:37,,,2022-08-05 10:38:37,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:38:37,,74,,,282,,"Education Scholarship, Blankets,  Mosquito Nets, Irrigation,",,,,18.62415,98.00061,2011-09-08,50.0,zcrm_361303000001881222,zcrm_361303000000401954,78,40,97,,Mae La Noi,107,All Seasons,4000,Mae Hong Son,false,40,2,,Ban Mae Tho,,8,,8,35,,4,,zcrm_361303000000528036,,12,,8,Flu and skin infection,,Prathom (Primary),,,,,,,,Yes,,,No,Government Water System,,,,,Ban Huay Mai Sand,Ban Huay Mai Sand,,,,,,,false,WASH,,,1
zcrm_361303000001881627,zcrm_361303000000269001,,Ban Huay Mai Sang,,,,,,Mooban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-12-15 16:41:57,,,2022-12-15 16:41:57,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-12-15 16:41:57,,57,,,425,2017-05-02,"Education Scholarship, Blankets and Mosquito Nets",,,,,,2010-09-28,,zcrm_361303000000401954,zcrm_361303000000461057,,40,,,Khun Yuam,,Dry Season,,Mae Hong Son,false,40,,,Ban Mae La ka,,5,,6,,,,,zcrm_361303000000461077,,,,,,,Prathom (Primary),zcrm_361303000000461057,,,,,,,Yes,,,No,Government Water System,,,,,Ban Huay Mai Sang,Ban Huay Mai Sang,,,,,,,false,School Buses;Irrigation;Further Education Scholarships;WASH,,,1
zcrm_361303000001881628,zcrm_361303000000269001,,Ban Huay Mak Lang,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 06:56:16,,,2022-08-05 06:56:16,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 06:56:16,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Huay Mak Lang,Ban Huay Mak Lang,,,,,,,false,Further Education Scholarships,,,1
zcrm_361303000001881629,zcrm_361303000000269001,,Ban Huay Mak Nam,,,,,,Yomban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:24:52,,,2022-08-05 10:24:52,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:24:52,,35,,"Very Poor (not paved, inaccesible in wet season)",116,,"Mosquito Nets, Blankets, Scholarship",,FALSE,Village Headman;Village Leader,18.06412,98.03655,2017-10-03,,zcrm_361303000001881204,zcrm_361303000000521090,71,50,43,Pwo,Mae Sariang,56,Dry Season,,Mae Hong Son,true,50,1,5,Ban Mae Ho,4,5,,30,9,20.0,1,,zcrm_361303000000521194,,5,,30,,zcrm_361303000001881172,No Schools,zcrm_361303000000521090,1991-01-01,,,,,,Yes,,,No,Government Water System,2001-01-01,2010-01-01,,,Ban Huay Mak Nam,Ban Huay Mak Nam,,,,,,,false,WASH,,,1
zcrm_361303000001881630,zcrm_361303000000269001,,Ban Huay Mak Noon,,,,,,Mooban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-07-28 16:15:36,,,2022-07-28 16:15:36,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-07-28 16:15:36,,198,,Very Good (paved roads),620,,"Mosquito Nets, Blankets,  Scholarship, School Bus",,FALSE,Village Headman,18.33886,97.99521,2017-09-14,,zcrm_361303000001881257,zcrm_361303000000401954,212,12,202,Sgaw,Mae La Noi,206,All Seasons,,Mae Hong Son,false,12,1,,Ban Mae Tia,,4,12,24,87,10.0,7,,zcrm_361303000000528038,,26,,,1 Dengue Fever,zcrm_361303000001881123,Prathom (Primary),,1991-01-01,,2006-01-01,,,,Yes,,1986-01-01,No,Government Water System,,1996-01-01,,,Ban Huay Mak Noon,Ban Huay Mak Noon,,,,,,,false,,,,1
zcrm_361303000001881631,zcrm_361303000000269001,,Ban Huay Moo,,,,,,Yomban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-10-11 10:34:29,,,2022-10-11 10:34:29,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-10-11 10:34:29,,14,,"Average (some paved road, some potholes)",82,,"Mosquito Nets, Blankets, Water Repair, Water Extension, Latrines, Dam, Channel, Repair, Scholarship, School Meals.",,FALSE,Village Headman;Village Leader;Villagers,19.135383,98.127936,2020-09-19,40.0,zcrm_361303000001881192,zcrm_361303000000716147,15,53,35,Sgaw,Muang,32,Dry Season,12000,Mae Hong Son,false,53,,,Ban Huay Poo Ling,3,4,2,3,4,,3,5.0,zcrm_361303000000716157,,0,,53,Flu,zcrm_361303000001443590,No Schools,zcrm_361303000000716157,2001-01-01,2006-01-01,,No,,,Yes,,,No,Government Water System,2004-01-01,2001-01-01,No,,Ban Huay Moo,Ban Huay Moo,,,,,,,false,WASH,,,1
zcrm_361303000001881633,zcrm_361303000000269001,,Ban Huay Na (Mae Sariang),,,,,,Yomban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:21:57,,,2022-08-05 10:21:57,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:21:57,,21,,,109,,"Blankets, Mosquito Nets, Latrine, Education Scholarship",,,,18.9509,97.79007,2008-09-06,40.0,zcrm_361303000001881204,zcrm_361303000000521090,32,48,40,,Mae Sariang,37,Dry Season,,Mae Hong Son,false,48,,,Ban Mae Lid Pa Kae,2,6,,,6,,,,zcrm_361303000000521194,,11,,26,"Flu, Ulcer and skin infection",zcrm_361303000001881174,No Schools,zcrm_361303000000521090,,,,,,,Yes,,,No,Government Water System,,,,,Ban Huay Na (Mae Sariang),Ban Huay Na (Mae Sariang),,,,,,,false,WASH,,,1
zcrm_361303000001881634,zcrm_361303000000269001,,Ban Huay Nam Sai,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 06:57:21,,,2022-08-05 06:57:21,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 06:57:21,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Huay Nam Sai,Ban Huay Nam Sai,,,,,,,false,Further Education Scholarships,,,1
zcrm_361303000001881635,zcrm_361303000000269001,,Ban Huay Ngao,,,,,,Mooban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:21:56,,,2022-08-05 10:21:56,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:21:56,,82,,,337,,"Education Scholarship, Blankets,  Mosquito Nets, Latrine, school transport",,FALSE,,,,2010-10-29,40.0,zcrm_361303000000461057,zcrm_361303000000461057,101,32,121,,Khun Yuam,115,All Seasons,,Mae Hong Son,false,32,6,,Ban Huay Na,,14,,4,68,,,,zcrm_361303000000461077,,10,,32,Flu and Ulcer,zcrm_361303000001881125,Prathom (Primary),zcrm_361303000000461057,,,,,,,Yes,,,No,Government Water System,,,,,Ban Huay Ngao,Ban Huay Ngao,,,,,,,false,WASH,,,1
zcrm_361303000001881636,zcrm_361303000000269001,,Ban Huay Ngoo,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:22:15,,,2022-08-05 10:22:15,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:22:15,,42,,,234,,"Rice bank, Blankets, Mosquito Nets, Education Scholarship,Latrine, Filter tank, Transport",,,,,,,40.0,,zcrm_361303000000521090,72,26,74,,Mae Sariang,88,Dry Season,,Mae Hong Son,false,26,10,,Mae Sariang,,40,,26,15,,,,,,,,,"skin infection, diarrhea, (They need a lot paracetamol for Colds + antihistimine), No AIDS Though they are awals of it",,Prathom (Primary),zcrm_361303000000401954,1990-01-01,,,,,,Yes,,,No,Government Water System,,,,,Ban Huay Ngoo,Ban Huay Ngoo,,,,,,,false,WASH,,,1
zcrm_361303000001881637,zcrm_361303000000269001,,Ban Huay Ngoo Luam,,,,,,Yomban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2023-01-05 06:36:33,,,2023-01-05 06:36:33,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2023-01-05 06:36:33,,20,,,87,,"Education Scholarship, Blankets,  Mosquito Nets",,FALSE,,,,2008-09-25,50.0,zcrm_361303000000401954,zcrm_361303000000401954,24,10,34,,Mae La Noi,29,All Seasons,,Mae Hong Son,false,10,3,,Mae La Noi,,3,,10,12,,,,zcrm_361303000001881240,,4,,,Flu and Ulcer,zcrm_361303000001881177,No Schools,,,,,,,,Yes,,,No,Government Water System,,,,,Ban Huay Ngoo Luam,Ban Huay Ngoo Luam,,,,,,,false,WASH,,,1
zcrm_361303000001881638,zcrm_361303000000269001,,Ban Huay Noong,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:22:15,,,2022-08-05 10:22:15,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:22:15,,30,,,153,,"Blankets, Mosquito Nets, Education",,,,,,2002-10-03,80.0,,zcrm_361303000000461057,71,31,41,,Khun Yuam,41,Dry Season,,Mae Hong Son,false,31,4,,Ban Mae Surin,,1,,19,33,,,,,,,,,"Stomach, ulcer",,No Schools,zcrm_361303000000461057,,,,,,,Yes,,,No,Government Water System,,,,,Ban Huay Noong,Ban Huay Noong,,,,,,,false,WASH,,,1
zcrm_361303000001881639,zcrm_361303000000269001,,Ban Huay Pak Pai,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 06:55:47,,,2022-08-05 06:55:47,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 06:55:47,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Huay Pak Pai,Ban Huay Pak Pai,,,,,,,false,Further Education Scholarships,,,1
zcrm_361303000001881641,zcrm_361303000000269001,,Ban Huay Phak Kood,,,,,,Mooban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:21:57,,,2022-08-05 10:21:57,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:21:57,,102,,,561,,"Education Scholarship, Blankets,  Latrine",,FALSE,,18.74639,98.2152,2009-09-15,30.0,zcrm_361303000001881211,zcrm_361303000000461057,257,50,153,,Mae Chaem,151,All Seasons,,Chiang Mai,false,50,,,Ban Pang Ung,,14,,20,78,,,,zcrm_361303000000461077,,,,50,Flu and cancer,,Prathom (Primary),zcrm_361303000000461057,,,,,,,Yes,,,No,Government Water System,,,,,Ban Huay Phak Kood,Ban Huay Phak Kood,,,,,,,false,WASH,,,1
zcrm_361303000001881642,zcrm_361303000000269001,,Ban Huay Phan,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:21:58,,,2022-08-05 10:21:58,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:21:58,,34,,,184,,"Blankets, Mosquito Nets, Latrine",,,,18.99936,97.87624,2004-09-08,30.0,,zcrm_361303000000461057,73,35,56,,Khun Yuam,55,Dry Season,,Mae Hong Son,false,35,6,,Ban Mae Surin,,10,,28,32,,,,,,,,,Flu,,Prathom (Primary),zcrm_361303000000461057,,,,,,,Yes,,,No,Government Water System,,,,,Ban Huay Phan,Ban Huay Phan,,,,,,,false,WASH,,,1
zcrm_361303000001881643,zcrm_361303000000269001,,Ban Huay Pla Kang,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:21:27,,,2022-08-05 10:21:27,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:21:27,,185,,"Good (paved roads, few potholes)",607,,"Education Scholarship, Blankets and Mosquito Nets, Latrines",,,,18.06347,98.03399,2018-09-16,40.0,,zcrm_361303000000521090,271,38,186,,Mae Sariang,150,All Seasons,,Mae Hong Son,false,38,,,Ban Mae Ho,,2,,18,84,,,,zcrm_361303000000521090,,20,,38,Ulcer,zcrm_361303000001881126,Prathom (Primary),zcrm_361303000000521090,2002-01-01,,,,,,Yes,,1997-01-01,No,Government Water System,2009-01-01,2002-01-01,,,Ban Huay Pla Kang,Ban Huay Pla Kang,,,,,,,false,WASH,,,1
zcrm_361303000001881644,zcrm_361303000000269001,,Ban Huay Ploo,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:21:58,,,2022-08-05 10:21:58,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:21:58,,,,,,,,,,,,,2014-09-18,,,,,,,,,,,,Mae Hong Son,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Huay Ploo,Ban Huay Ploo,,,,,,,false,WASH,,,1
zcrm_361303000001881647,zcrm_361303000000269001,,Ban Huay Pong (Khun Yuam),,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:21:58,,,2022-08-05 10:21:58,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:21:58,,26,,,149,,"Blankets, Mosquito Nets, Latrine",,,,,,2004-09-18,40.0,,zcrm_361303000000461057,65,39,42,,Khun Yuam,42,Dry Season,,Mae Hong Son,false,39,,,Ban Mae Jae,4,,,4,20,,,,,,,,,"Flu, Ulcer, respiratory diseases",zcrm_361303000001881133,No Schools,zcrm_361303000000461057,,,,,,,Yes,,,No,,,,,,Ban Huay Pong (Khun Yuam),Ban Huay Pong (Khun Yuam),,,,,,,false,WASH,,,1
