Record Id,Town/District Name,Phone,Email,Website,GL Account,Category,Town/District Owner.id,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Street,City,Province,Postal Code,Country,Description,Layout.id,Tag,Town/District Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Sub-District Id,District Id,Typ,GPS Latitude,Address,GPS Longitude,Sub-District (if not one) Id,Types,Locked
zcrm_361303000000528045,Mae Hong Son Rajaphat University,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528046,Burapha University,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528047,Ban Mae oom Pai,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528048,Chaing Mai Rajaphat University,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528049,Chiang Mai Technical College,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528050,Lampang Rajabhat University,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528051,Mahamakut Ratchawittayalai University,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528052,Chomthong Industrial and Community Education College,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528053,Ban Mae Oompai Nua,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528054,Ban Mae Yuam Luang,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528055,Ban Aa Ngiew,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000534466,Mae La Noi Raj Ba Cha,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 17:03:25,2021-10-28 17:03:25,,,,,,,,,,,,,,,,,,,,,,,School,false
zcrm_361303000000534476,Ban Khun Mae La Noi,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 17:04:32,2021-10-28 17:04:32,,,,,,,,,,,,,,,,,,,,,,,Town,false
zcrm_361303000000543045,Ban Pa Maak,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-01 16:03:52,2021-11-01 16:03:52,,,,,,,,,,,,,,,,,,,,,,,School;Town,false
zcrm_361303000000546007,Ban Pattana Poo Koo,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-01 16:26:04,2021-11-01 16:26:04,,,,,,,,,,,,,,,,,,,,,,,School;Town,false
zcrm_361303000000546079,Ban Kok Luang,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-01 16:58:05,2021-11-01 16:58:05,,,,,,,,,,,,,,,,,,,,,,,Town,false
zcrm_361303000000654011,Ban Pho So,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-19 08:27:23,2021-11-19 08:27:23,,,,,,,,,,,,,,,,,,,,,,,School,false
zcrm_361303000000667033,Mae Chaem,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-22 08:00:13,2022-07-14 07:44:29,,,,,,,,,,,,2022-07-14 07:44:29,,,,,,,,,,,Town,false
zcrm_361303000000667043,Ban Pha La Pi Tai,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-22 08:03:17,2021-11-22 08:03:17,,,,,,,,,,,,,,,,,,,,,,,School,false
zcrm_361303000000704013,Ban Huay Ton Noon,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-26 04:58:43,2021-11-26 04:58:43,,,,,,,,,,,,,,,,,,,,,,,School;Town,false
zcrm_361303000000704067,Ban Huay Hia,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-26 05:28:05,2021-11-26 05:28:05,,,,,,,,,,,,,,,,,,,,,,,School;Town,false
zcrm_361303000000704077,Ban Po Saw,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-26 05:28:51,2021-11-26 05:28:51,,,,,,,,,,,,,,,,,,,,,,,School,false
zcrm_361303000000707052,Ban Hua Mae Tho,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-26 07:05:16,2021-11-26 07:05:16,,,,,,,,,,,,,,,,,,,,,,,School;Town,false
zcrm_361303000000707122,Ban Mae Lor,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-26 07:48:59,2021-11-26 07:48:59,,,,,,,,,,,,,,,,,,,,,,,School;Town,false
zcrm_361303000000707256,Ban Huay Na,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-26 09:09:30,2021-11-26 09:09:30,,,,,,,,,,,,,,,,,,,,,,,School;Town,false
zcrm_361303000000716100,Ban Nong Heang,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-28 05:58:33,2021-11-28 06:09:53,,,,,,,,,,,,2021-11-28 06:09:53,,,,,,,,,,,School;Town,false
