hospital_name,province,district,sub_district,postal_code,formatted_address,gps_latitude,gps_longitude
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแพมบก,ตำบลทุ่งยาว,ตำบลทุ่งยาว,อำเภอปาย,จังหวัดแม่ฮ่องสอน,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแพมบก ตำบลทุ่งยาว ตำบลทุ่งยาว อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.32599462, 98.39247022
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ของ,ตำบลแม่นาเติง,ถนนรพช.,มส.,4034,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ของ ตำบลแม่นาเติง ถนนรพช. มส. 4034 ตำบลแม่นาเติง อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.38575884, 98.43942758
สถานบริการสาธารณสุขชุมชนบ้านห้วยตอง,ถนนอบต.,ชม.,บ้านวัดจันทร์-บ้านห้วยตอง,ตำบลห้วยปูลิง,สถานบริการสาธารณสุขชุมชนบ้านห้วยตอง ถนนอบต. ชม. บ้านวัดจันทร์-บ้านห้วยตอง ตำบลห้วยปูลิง อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.09886419, 98.23349410
สถานบริการสาธารณสุขชุมชนบ้านหนองเขียว,ตำบลห้วยโป่ง,อำเภอเมืองแม่ฮ่องสอน,จังหวัดแม่ฮ่องสอน,58000,สถานบริการสาธารณสุขชุมชนบ้านหนองเขียว ตำบลห้วยโป่ง อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.02085299, 98.06839355
โรงพยาบาลธัญญารักษ์แม่ฮ่องสอน,ถนนรพช.,มส.,4127,ตำบลปางหมู,โรงพยาบาลธัญญารักษ์แม่ฮ่องสอน ถนนรพช. มส. 4127 ตำบลปางหมู อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.31455938, 97.98587985
สถานพยาบาลเรือนจำอำเภอแม่สะเรียง,ถนนเวียงใหม่,ตำบลแม่สะเรียง,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,สถานพยาบาลเรือนจำอำเภอแม่สะเรียง ถนนเวียงใหม่ ตำบลแม่สะเรียง อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.16101546, 97.93558653
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกองก๋อย,ตำบลกองก๋อย,ตำบลกองก๋อย,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกองก๋อย ตำบลกองก๋อย ตำบลกองก๋อย อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,18.08974119, 98.19537794
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านอุมโล๊ะ,ตำบลแม่สวด,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านอุมโล๊ะ ตำบลแม่สวด อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.70555354, 98.03172831
โรงพยาบาลส่งเสริมสุขภาพตำบลไม้ฮุง,ตำบลห้วยโป่ง,อำเภอเมืองแม่ฮ่องสอน,จังหวัดแม่ฮ่องสอน,58000,โรงพยาบาลส่งเสริมสุขภาพตำบลไม้ฮุง ตำบลห้วยโป่ง อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.06658700, 97.92366674
สำนักงานสาธารณสุขอำเภอปาย,ถนนรพช.,มส.,5151,ตำบลเวียงใต้,สำนักงานสาธารณสุขอำเภอปาย ถนนรพช. มส. 5151 ตำบลเวียงใต้ อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.36466977, 98.43066701
สำนักงานสาธารณสุขจังหวัดแม่ฮ่องสอน,ถนนขุนลุมประพาส,ตำบลจองคำ,อำเภอเมืองแม่ฮ่องสอน,จังหวัดแม่ฮ่องสอน,สำนักงานสาธารณสุขจังหวัดแม่ฮ่องสอน ถนนขุนลุมประพาส ตำบลจองคำ อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.28684169, 97.96280343
สำนักงานสาธารณสุขอำเภอเมืองแม่ฮ่องสอน,ทางหลวงแผ่นดินหมายเลข1095,ตำบลปางหมู,อำเภอเมืองแม่ฮ่องสอน,จังหวัดแม่ฮ่องสอน,สำนักงานสาธารณสุขอำเภอเมืองแม่ฮ่องสอน ทางหลวงแผ่นดินหมายเลข1095 ตำบลปางหมู อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.33551754, 97.96527619
สำนักงานสาธารณสุขอำเภอแม่ลาน้อย,ที่ว่าการอำเภอแม่ลาน้อย,ถนนเทศบาลตำบลแม่ลาน้อย,ตำบลแม่ลาน้อย,อำเภอแม่ลาน้อย,สำนักงานสาธารณสุขอำเภอแม่ลาน้อย ที่ว่าการอำเภอแม่ลาน้อย ถนนเทศบาลตำบลแม่ลาน้อย ตำบลแม่ลาน้อย อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.38375206, 97.93680024
สำนักงานสาธารณสุขอำเภอปางมะผ้า,ทางหลวงชนบทมส.,4014,ตำบลสบป่อง,อำเภอปางมะผ้า,สำนักงานสาธารณสุขอำเภอปางมะผ้า ทางหลวงชนบทมส. 4014 ตำบลสบป่อง อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน 58150,19.51909727, 98.25992704
สถานบริการสาธารณสุขชุมชนบ้านบุญเลอ,ตำบลแม่สามแลบ,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,สถานบริการสาธารณสุขชุมชนบ้านบุญเลอ ตำบลแม่สามแลบ อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.87343896, 97.72232766
สถานบริการสาธารณสุขชุมชนบ้านแม่หลุยหลวง,ตำบลแม่สวด,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,สถานบริการสาธารณสุขชุมชนบ้านแม่หลุยหลวง ตำบลแม่สวด อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.77663462, 97.99757071
สถานบริการสาธารณสุขชุมชนบ้านแม่ตอละ,ตำบลแม่สามแลบ,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,สถานบริการสาธารณสุขชุมชนบ้านแม่ตอละ ตำบลแม่สามแลบ อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.82257774, 97.77032698
