Sticky.id,Created By.id,Content,Created Time,Modified Time,Sticky Properties,Instance.id,Login Notify
zcrm_361303000000269029,zcrm_361303000000269001,,2021-08-17 14:17:22,2021-08-17 14:17:22,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_361303000002119025,zcrm_361303000002119001,,2022-08-10 01:23:44,2022-08-10 01:23:44,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
