school_name,province,district,sub_district,postal_code,formatted_address,gps_latitude,gps_longitude
โรงเรียนบ้านแม่อุมป๊อก,ตำบลป่าแป๋,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านแม่อุมป๊อก ตำบลป่าแป๋ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.25785820, 98.06144375
โรงเรียนบ้านแม่ออกเหนือ,ตำบลแม่คะตวน,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านแม่ออกเหนือ ตำบลแม่คะตวน อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,18.01892616, 98.00382292
โรงเรียนบ้านแม่อุมลองหลวง,ตำบลป่าแป๋,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านแม่อุมลองหลวง ตำบลป่าแป๋ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.26547184, 98.02209226
โรงเรียนบ้านแม่อุมลอง,ตำบลป่าแป๋,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านแม่อุมลอง ตำบลป่าแป๋ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.25044549, 98.03427663
โรงเรียนบ้านแม่อุมพาย,ตำบลแม่โถ,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,58120,โรงเรียนบ้านแม่อุมพาย ตำบลแม่โถ อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.59920485, 98.02692083
โรงเรียนบ้านละอูบ,ทางหลวงแผ่นดินหมายเลข1266,ตำบลห้วยห้อม,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านละอูบ ทางหลวงแผ่นดินหมายเลข1266 ตำบลห้วยห้อม อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.34241142, 98.05763703
โรงเรียนบ้านเลโคะ,ทางหลวงชนบทมส.,3004,ตำบลสบเมย,อำเภอสบเมย,โรงเรียนบ้านเลโคะ ทางหลวงชนบทมส. 3004 ตำบลสบเมย อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.84220096, 97.84577218
โรงเรียนบ้านไร่วิทยา,ทางหลวงแผ่นดินหมายเลข105,ตำบลแม่สะเรียง,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านไร่วิทยา ทางหลวงแผ่นดินหมายเลข105 ตำบลแม่สะเรียง อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.12452323, 97.93896391
โรงเรียนบ้านเวฬุวัน,ตำบลสบเมย,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านเวฬุวัน ตำบลสบเมย อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.80444593, 97.84247198
โรงเรียนบ้านสบหาร,ถนนอบจ.,มส.,2003,ตำบลบ้านกาศ,โรงเรียนบ้านสบหาร ถนนอบจ. มส. 2003 ตำบลบ้านกาศ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.20344700, 97.93004417
โรงเรียนบ้านสบเมย,ตำบลแม่สามแลบ,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านสบเมย ตำบลแม่สามแลบ อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.83027553, 97.69619269
โรงเรียนบ้านส้มป่อย,ตำบลขุนแม่ลาน้อย,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,58120,โรงเรียนบ้านส้มป่อย ตำบลขุนแม่ลาน้อย อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.60212944, 98.16311715
โรงเรียนบ้านสันติสุข,ทางหลวงแผ่นดินหมายเลข1270,ตำบลป่าแป๋,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านสันติสุข ทางหลวงแผ่นดินหมายเลข1270 ตำบลป่าแป๋ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.31462270, 98.16008585
โรงเรียนบ้านศรีมูลเมือง,ทางหลวงแผ่นดินหมายเลข1194,ตำบลแม่คง,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านศรีมูลเมือง ทางหลวงแผ่นดินหมายเลข1194 ตำบลแม่คง อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.16634476, 97.92208977
โรงเรียนบ้านเสาหิน,ตำบลเสาหิน,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านเสาหิน ตำบลเสาหิน อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.55099546, 97.66739787
โรงเรียนบ้านห้วยกระต่าย,ทางหลวงชนบทมส.,3004,ตำบลแม่สามแลบ,อำเภอสบเมย,โรงเรียนบ้านห้วยกระต่าย ทางหลวงชนบทมส. 3004 ตำบลแม่สามแลบ อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.86165235, 97.77598246
โรงเรียนบ้านสาม,ตำบลห้วยห้อม,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,58120,โรงเรียนบ้านสาม ตำบลห้วยห้อม อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.38341732, 98.12722720
โรงเรียนบ้านหนองม่วน,ตำบลแม่นาจาง,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,58120,โรงเรียนบ้านหนองม่วน ตำบลแม่นาจาง อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.48031101, 98.09413061
โรงเรียนบ้านสุดห้วยนา,ตำบลแม่เหาะ,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านสุดห้วยนา ตำบลแม่เหาะ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.16918228, 98.14811223
โรงเรียนบ้านห้วยกองมูล,สาขาบ้านขุนแม่คะตวน,ตำบลสบเมย,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านห้วยกองมูล สาขาบ้านขุนแม่คะตวน ตำบลสบเมย อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.94301868, 97.86427502
โรงเรียนบ้านห้วยกองมูล,ตำบลสบเมย,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านห้วยกองมูล ตำบลสบเมย อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.91633376, 97.88365163
