Record Id,Note Owner.id,Note Title,Note Content,Parent.id,Created By.id,Modified By.id,Created Time,Modified Time
zcrm_361303000002320033,zcrm_361303000000269001,,After filter 27/09/2022,zcrm_361303000001437017,zcrm_361303000000269001,zcrm_361303000000269001,2022-09-30 04:05:27,2022-09-30 04:05:27
zcrm_361303000002320044,zcrm_361303000000269001,,After filter 26/09/2022,zcrm_361303000001437001,zcrm_361303000000269001,zcrm_361303000000269001,2022-09-30 04:07:33,2022-09-30 04:07:33
zcrm_361303000002320055,zcrm_361303000000269001,,Tap 26/09/2022,zcrm_361303000001437001,zcrm_361303000000269001,zcrm_361303000000269001,2022-09-30 04:08:02,2022-09-30 04:08:02
zcrm_361303000002355003,zcrm_361303000000269001,,Water Source 7/10/2022,zcrm_361303000001918144,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-11 10:26:01,2022-10-11 10:26:01
zcrm_361303000002355014,zcrm_361303000000269001,,After Filter Tank 7/10/2022,zcrm_361303000001918144,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-11 10:26:46,2022-10-11 10:26:46
zcrm_361303000002355025,zcrm_361303000000269001,,Tap 7/10/2022,zcrm_361303000001918144,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-11 10:27:24,2022-10-11 10:27:24
zcrm_361303000002355078,zcrm_361303000000269001,,Tap 5/10/2022,zcrm_361303000001918083,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-11 10:35:44,2022-10-11 10:35:44
zcrm_361303000002355089,zcrm_361303000000269001,,Water Source 5/10/2022,zcrm_361303000001918083,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-11 10:36:26,2022-10-11 10:36:26
zcrm_361303000002355100,zcrm_361303000000269001,,After filter 5/10/2022,zcrm_361303000001918083,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-11 10:37:06,2022-10-11 10:37:06
zcrm_361303000002378003,zcrm_361303000000269001,,Water source 18/10/22,zcrm_361303000001918125,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-21 08:23:52,2022-10-21 08:23:52
zcrm_361303000002378014,zcrm_361303000000269001,,Before tank 18/10/22,zcrm_361303000001918125,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-21 08:24:22,2022-10-21 08:24:22
zcrm_361303000002378025,zcrm_361303000000269001,,After Tank 18/10/22,zcrm_361303000001918125,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-21 08:24:44,2022-10-21 08:24:44
zcrm_361303000002378036,zcrm_361303000000269001,,Source 18/10/22,zcrm_361303000001918145,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-21 08:25:50,2022-10-21 08:25:50
zcrm_361303000002378047,zcrm_361303000000269001,,Before filter 18/10/22,zcrm_361303000001918145,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-21 08:26:14,2022-10-21 08:26:14
zcrm_361303000002378058,zcrm_361303000000269001,,After Filter 18/10/22,zcrm_361303000001918145,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-21 08:26:42,2022-10-21 08:26:42
zcrm_361303000002388045,zcrm_361303000000269001,,Water Source 19/10/2022,zcrm_361303000000461031,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-25 09:55:47,2022-10-25 09:55:47
zcrm_361303000002388056,zcrm_361303000000269001,,Before tank 19/10/2022,zcrm_361303000000461031,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-25 09:56:21,2022-10-25 09:56:21
zcrm_361303000002388067,zcrm_361303000000269001,,Tap 19/10/2022,zcrm_361303000000461031,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-25 09:56:53,2022-10-25 09:56:53
zcrm_361303000002388078,zcrm_361303000000269001,,Source 20/10/2022,zcrm_361303000001918085,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-25 09:58:36,2022-10-25 09:58:36
zcrm_361303000002388089,zcrm_361303000000269001,,Before tank 20/10/2022,zcrm_361303000001918085,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-25 09:59:05,2022-10-25 09:59:05
zcrm_361303000002388100,zcrm_361303000000269001,,20/10/2022,zcrm_361303000001918085,zcrm_361303000000269001,zcrm_361303000000269001,2022-10-25 09:59:37,2022-10-25 09:59:37
