Record Id,Note Owner.id,Note Title,Note Content,Parent.id,Parent Id.Module,Created By.id,Modified By.id,Created Time,Modified Time,Record Status,Associated_Id
zcrm_361303000000388961,zcrm_361303000000269001,,First project on Zoho with real data,zcrm_361303000000383844,Solutions,zcrm_361303000000269001,zcrm_361303000000269001,2021-09-22 16:13:36,2021-09-22 18:45:13,1,
zcrm_361303000000579025,zcrm_361303000000269001,Donation receipt needed,Billy to send donor receipt to JB,zcrm_361303000000546017,Solutions,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-09 04:22:23,2021-11-09 04:22:23,1,
zcrm_361303000000648001,zcrm_361303000000269001,,"Implementation planned for Nov 21, but positive COVID-19 case delayed to Dec 21.",zcrm_361303000000534454,Solutions,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-18 04:33:01,2021-11-18 04:33:01,1,
zcrm_361303000000648006,zcrm_361303000000269001,,Project further delayed because of further COVID-19 cases. Moved from Dec 21 to Jan 22.,zcrm_361303000000534454,Solutions,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-18 04:33:46,2022-07-05 13:00:54,1,
zcrm_361303000000654042,zcrm_361303000000269001,,One off project,zcrm_361303000000654021,Solutions,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-19 08:30:46,2021-11-19 08:30:46,1,
zcrm_361303000000706010,zcrm_361303000000269001,Overheads,Overheads low due to be taken from remainder of Kadoorie Wash construction budget. Overheads had already been allocated for Kadoories donation,zcrm_361303000000704046,Solutions,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-26 06:06:39,2021-11-26 06:06:39,1,
zcrm_361303000000707086,zcrm_361303000000269001,,"Project proposal says canal only, but photos clearly show dam also built",zcrm_361303000000707031,Solutions,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-26 07:21:19,2021-11-26 07:21:19,1,
zcrm_361303000000884001,zcrm_361303000000269001,,"All of Alborada applied to project proposal cost, with remainder for overheads",zcrm_361303000000814117,Solutions,zcrm_361303000000269001,zcrm_361303000000269001,2022-01-03 11:32:05,2022-01-03 11:32:05,1,
zcrm_361303000000890001,zcrm_361303000000269001,,12000 THB extra in supplier costs due to increase in costs,zcrm_361303000000543021,Solutions,zcrm_361303000000269001,zcrm_361303000000269001,2022-01-04 02:49:24,2022-01-04 02:49:24,1,
zcrm_361303000000890030,zcrm_361303000000269001,,"OVerrun in time, still going as of 4 January 2022",zcrm_361303000000543021,Solutions,zcrm_361303000000269001,zcrm_361303000000269001,2022-01-04 03:10:38,2022-01-04 03:10:38,1,
