school_name,province,district,sub_district,postal_code,formatted_address,gps_latitude,gps_longitude
โรงเรียนบ้านขุนแม่ต้อบ,ตำบลบ้านกาศ,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านขุนแม่ต้อบ ตำบลบ้านกาศ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.31115057, 97.82281084
โรงเรียนบ้านขุนวงเหนือ,ตำบลแม่เหาะ,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านขุนวงเหนือ ตำบลแม่เหาะ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.07659590, 98.00460797
โรงเรียนบ้านขุนวง,ตำบลแม่เหาะ,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านขุนวง ตำบลแม่เหาะ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.06802483, 98.01383832
โรงเรียนบ้านขุนแม่ลา,ตำบลขุนแม่ลาน้อย,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,58120,โรงเรียนบ้านขุนแม่ลา ตำบลขุนแม่ลาน้อย อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.61800143, 98.11528350
โรงเรียนบ้านคะปวง,ซอย2,,ตำบลแม่ยวม,อำเภอแม่สะเรียง,โรงเรียนบ้านคะปวง ซอย2  ตำบลแม่ยวม อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.13095559, 97.91635387
โรงเรียนบ้านจอซิเดอเหนือ,ตำบลแม่คง,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านจอซิเดอเหนือ ตำบลแม่คง อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.42167339, 97.54858196
โรงเรียนบ้านช่างหม้อ,ตำบลป่าแป๋,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านช่างหม้อ ตำบลป่าแป๋ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.31849617, 98.16713553
โรงเรียนบ้านจอมแจ้งมิตรภาพที่,193,ทางหลวงแผ่นดินหมายเลข108,ตำบลแม่สะเรียง,อำเภอแม่สะเรียง,โรงเรียนบ้านจอมแจ้งมิตรภาพที่ 193 ทางหลวงแผ่นดินหมายเลข108 ตำบลแม่สะเรียง อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.16161986, 97.94072551
โรงเรียนบ้านกอมูเดอ,ตำบลแม่สามแลบ,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านกอมูเดอ ตำบลแม่สามแลบ อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.92910881, 97.74403217
โรงเรียนบ้านดอยเลี่ยม,ตำบลแม่เหาะ,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านดอยเลี่ยม ตำบลแม่เหาะ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.11491219, 98.10229275
โรงเรียนบ้านซิวาเดอ,ทางหลวงชนบทมส.,3004,ตำบลแม่สามแลบ,อำเภอสบเมย,โรงเรียนบ้านซิวาเดอ ทางหลวงชนบทมส. 3004 ตำบลแม่สามแลบ อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.93399753, 97.76350921
โรงเรียนบ้านดงใหม่,ทางหลวงชนบทมส.,7020,ตำบลห้วยห้อม,อำเภอแม่ลาน้อย,โรงเรียนบ้านดงใหม่ ทางหลวงชนบทมส. 7020 ตำบลห้วยห้อม อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.34483463, 98.11766309
โรงเรียนบ้านดอยงาม,ทางหลวงชนบทมส.,3004,ตำบลสบเมย,อำเภอสบเมย,โรงเรียนบ้านดอยงาม ทางหลวงชนบทมส. 3004 ตำบลสบเมย อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.89994081, 97.84551140
โรงเรียนบ้านดงกู่,ตำบลแม่เหาะ,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านดงกู่ ตำบลแม่เหาะ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.06299143, 98.06476999
โรงเรียนบ้านท่าตาฝั่ง,ตำบลแม่ยวม,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านท่าตาฝั่ง ตำบลแม่ยวม อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.07543810, 97.69143484
โรงเรียนบ้านต้นงิ้ว,สาขาบ้านห้วยเหี๊ย,ทางหลวงชนบทมส.,3005,ตำบลป่าโปง,โรงเรียนบ้านต้นงิ้ว สาขาบ้านห้วยเหี๊ย ทางหลวงชนบทมส. 3005 ตำบลป่าโปง อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,18.06782544, 98.14953938
