โรงเรียนบ้านห้วยฮากไม้เหนือ,ป่าแป๋,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหัวแม่โถ,แม่โถ,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหัวลา,สันติคีรี,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านอมพาย,ป่าแป๋,แม่สะเรียง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านอุมดาใต้,แม่คะตวน,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านอุมดาเหนือ,แม่คะตวน,สบเมย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านอุมโละเหนือ,แม่สวด,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนเพียงหลวง 11 ในทูลกระหม่อมหญิงอุบลรัตนราชกัญญา สิริวัฒนาพรรณวดี,เสาหิน,แม่สะเรียง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนรัตนประทีปวิทยา,ป่าแป๋,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนล่องแพวิทยา,แม่สวด,สบเมย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนล่องแพวิทยา สาขาบ้านอุมโละ,แม่สวด,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนลุ่มน้ำวิทยา,แม่ลาน้อย,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนศิษย์เก่าพยาบาลศิริราชบ้านดง,ห้วยห้อม,แม่ลาน้อย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนสังวาลย์วิทยา,แม่เหาะ,แม่สะเรียง,อนุบาล–มัธยมศึกษา
โรงเรียนอนุบาลแม่ลาน้อย,แม่ลาน้อย,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลแม่สะเรียง (บ้านโป่ง),บ้านกาศ,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลแม่สะเรียง (บ้านโป่ง) สาขาบ้านท่าข้าม,บ้านกาศ,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลสบเมย (คอนผึ้ง),แม่คะตวน,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนราชประชานุเคราะห์ 21,แม่ลาน้อย,แม่ลาน้อย
โรงเรียนราชประชานุเคราะห์ 22,แม่นาเติง,ปาย
โรงเรียนราชประชานุเคราะห์ 59,ปางหมู,เมืองแม่ฮ่องสอน
โรงเรียนพุทธเกษตร,ขุนยวม,ขุนยวม,เตรียมอนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนอนุบาลกฤษณพรรณ,บ้านกาศ,แม่สะเรียง,เตรียมอนุบาล–อนุบาล
โรงเรียนอนุบาลจรัสศรี,จองคำ,เมืองแม่ฮ่องสอน,อนุบาล
โรงเรียนอนุบาลธารทิพย์,บ้านกาศ,แม่สะเรียง,เตรียมอนุบาล–ประถมศึกษา
โรงเรียนอนุบาลบรรณวิทย์,จองคำ,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลสิริอัมพร,เวียงใต้,ปาย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนองค์การบริหารส่วนจังหวัดบ้านจองคำ,จองคำ,เมืองแม่ฮ่องสอน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนเทศบาล 2 เฉลิมพระเกียรติ,จองคำ,เมืองแม่ฮ่องสอน,อนุบาล
โรงเรียนเทศบาลเมืองแม่ฮ่องสอน,จองคำ,เมืองแม่ฮ่องสอน,มัธยมศึกษา
โรงเรียนเทศบาลเมืองแม่ฮ่องสอน (เทศบาล 3 แผนกประถมศึกษา),จองคำ,เมืองแม่ฮ่องสอน,ประถมศึกษา
โรงเรียนเทศบาลตำบลขุนยวม,ขุนยวม,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลเทศบาลตำบลปาย,เวียงใต้,ปาย,อนุบาล
โรงเรียนอนุบาลเทศบาลตำบลแม่ยวม,แม่ยวม,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนไท่จง (เทศบาล 3),แม่ลาน้อย,แม่ลาน้อย,มัธยมศึกษา
โรงเรียนร่มฉัตรวิทยา (เทศบาล 2),แม่ลาน้อย,แม่ลาน้อย,ประถมศึกษา
โรงเรียนอนุบาลเทศบาลตำบลแม่ลาน้อย,แม่ลาน้อย,แม่ลาน้อย,อนุบาล
โรงเรียนอนุบาลตำบลบ้านกาศ,บ้านกาศ,แม่สะเรียง,อนุบาล
โรงเรียนขุนยวมวิทยา,ขุนยวม,ขุนยวม,มัธยมศึกษา
โรงเรียนเฉลิมรัชวิทยาคม,กองก๋อย,สบเมย,มัธยมศึกษา
โรงเรียนปางมะผ้าพิทยาสรรพ์,สบป่อง,ปางมะผ้า,มัธยมศึกษา
โรงเรียนปายวิทยาคาร,เวียงใต้,ปาย,มัธยมศึกษา
โรงเรียนแม่ลาน้อยดรุณสิกข์,แม่ลาน้อย,แม่ลาน้อย,มัธยมศึกษา
โรงเรียนแม่สะเรียง,บ้านกาศ,แม่สะเรียง,มัธยมศึกษา
โรงเรียนสบเมยวิทยาคม,แม่คะตวน,สบเมย,มัธยมศึกษา
โรงเรียนห้องสอนศึกษา,จองคำ,เมืองแม่ฮ่องสอน,มัธยมศึกษา
