school_name,province,district,sub_district,postal_code,formatted_address,gps_latitude,gps_longitude
โรงเรียนบ้านแม่งะ,ตำบลแม่ลาน้อย,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,58120,โรงเรียนบ้านแม่งะ ตำบลแม่ลาน้อย อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.38106896, 98.02965031
โรงเรียนบ้านแม่ขีด,ตำบลแม่นาจาง,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,58120,โรงเรียนบ้านแม่ขีด ตำบลแม่นาจาง อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.52661752, 98.08090456
โรงเรียนบ้านแม่แคะ,ตำบลแม่สามแลบ,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านแม่แคะ ตำบลแม่สามแลบ อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.88284461, 97.79632146
โรงเรียนแม่เกาะวิทยา,ทางหลวงแผ่นดินหมายเลข105,ตำบลแม่คะตวน,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,โรงเรียนแม่เกาะวิทยา ทางหลวงแผ่นดินหมายเลข105 ตำบลแม่คะตวน อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.98968978, 97.92179693
โรงเรียนบ้านแม่คะตวน,ทางหลวงชนบทมส.,3004,ตำบลสบเมย,อำเภอสบเมย,โรงเรียนบ้านแม่คะตวน ทางหลวงชนบทมส. 3004 ตำบลสบเมย อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.95727459, 97.92762000
โรงเรียนบ้านแม่เงา,ทางหลวงแผ่นดินหมายเลข105,ตำบลแม่สวด,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านแม่เงา ทางหลวงแผ่นดินหมายเลข105 ตำบลแม่สวด อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.86873891, 97.96480932
โรงเรียนบ้านแม่จอ,ตำบลแม่โถ,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,58120,โรงเรียนบ้านแม่จอ ตำบลแม่โถ อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.64088787, 98.02842844
โรงเรียนบ้านแม่จ๊าง,ตำบลแม่เหาะ,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านแม่จ๊าง ตำบลแม่เหาะ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.08200569, 98.05045997
โรงเรียนบ้านแม่เงา,ทางหลวงแผ่นดินหมายเลข105,ตำบลแม่สวด,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านแม่เงา ทางหลวงแผ่นดินหมายเลข105 ตำบลแม่สวด อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.86873891, 97.96480932
โรงเรียนบ้านแม่จ๊าง,ตำบลแม่เหาะ,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านแม่จ๊าง ตำบลแม่เหาะ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.08200569, 98.05045997
