school_name,province,district,sub_district,postal_code,formatted_address,gps_latitude,gps_longitude
โรงเรียนขุนยวม,ทางหลวงแผ่นดินหมายเลข108,ตำบลขุนยวม,อำเภอขุนยวม,จังหวัดแม่ฮ่องสอน,โรงเรียนขุนยวม ทางหลวงแผ่นดินหมายเลข108 ตำบลขุนยวม อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.83235351, 97.93675560
โรงเรียนอนุบาลขุนยวม,ทางหลวงชนบทมส.,3007,ตำบลขุนยวม,อำเภอขุนยวม,โรงเรียนอนุบาลขุนยวม ทางหลวงชนบทมส. 3007 ตำบลขุนยวม อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.82144957, 97.93179223
โรงเรียนเขตพื้นที่การศึกษาอำเภอปางมะผ้า,ตำบลปางมะผ้า,อำเภอปางมะผ้า,จังหวัดแม่ฮ่องสอน,58150,โรงเรียนเขตพื้นที่การศึกษาอำเภอปางมะผ้า ตำบลปางมะผ้า อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน 58150,19.61429683, 98.20044386
โรงเรียนเขตพื้นที่การศึกษาอำเภอปาย,โรงเรียนบ้านนาจลอง,ถนนรพช.,มส.,4034,โรงเรียนเขตพื้นที่การศึกษาอำเภอปาย โรงเรียนบ้านนาจลอง ถนนรพช. มส. 4034 ตำบลแม่นาเติง อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.39404091, 98.44177972
โรงเรียนชุมชนต่อแพวิทยา,ทางหลวงชนบทมส.,3007,ตำบลแม่เงา,อำเภอขุนยวม,โรงเรียนชุมชนต่อแพวิทยา ทางหลวงชนบทมส. 3007 ตำบลแม่เงา อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.80595777, 97.90376575
โรงเรียนชุมชนบ้านผาบ่อง,ทางหลวงแผ่นดินหมายเลข108,ตำบลผาบ่อง,อำเภอเมืองแม่ฮ่องสอน,จังหวัดแม่ฮ่องสอน,โรงเรียนชุมชนบ้านผาบ่อง ทางหลวงแผ่นดินหมายเลข108 ตำบลผาบ่อง อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.21000255, 97.98071367
โรงเรียนชุมชนบ้านเมืองปอน,ถนนรพช.,มส.,5060,ตำบลเมืองปอน,โรงเรียนชุมชนบ้านเมืองปอน ถนนรพช. มส. 5060 ตำบลเมืองปอน อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.74573104, 97.92970387
โรงเรียนเขตพื้นที่การศึกษาอำเภอเมืองแม่ฮ่องสอนเขต,1,สำนักงานเขตพื้นที่การศึกษาประถมศึกษาแม่ฮ่องสอนเขต,1,ถนนขุนลุมประพาส,โรงเรียนเขตพื้นที่การศึกษาอำเภอเมืองแม่ฮ่องสอนเขต 1 สำนักงานเขตพื้นที่การศึกษาประถมศึกษาแม่ฮ่องสอนเขต 1 ถนนขุนลุมประพาส ตำบลจองคำ อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.29818604, 97.96468014
โรงเรียนชุมชนบ้านปางหมู,ทางหลวงแผ่นดินหมายเลข1095,ตำบลปางหมู,อำเภอเมืองแม่ฮ่องสอน,จังหวัดแม่ฮ่องสอน,โรงเรียนชุมชนบ้านปางหมู ทางหลวงแผ่นดินหมายเลข1095 ตำบลปางหมู อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.35340576, 97.96096134
โรงเรียนบ้านกลาง,ถนนอบจ.,มส.,3015,ตำบลห้วยโป่ง,โรงเรียนบ้านกลาง ถนนอบจ. มส. 3015 ตำบลห้วยโป่ง อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.06027314, 97.88428253
โรงเรียนชุมชนบ้านแม่ฮี้,ถนนหมู่บ้านแม่ฮี้,ตำบลแม่ฮี้,อำเภอปาย,จังหวัดแม่ฮ่องสอน,โรงเรียนชุมชนบ้านแม่ฮี้ ถนนหมู่บ้านแม่ฮี้ ตำบลแม่ฮี้ อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.34656995, 98.45262385
โรงเรียนชุมชนบ้านหมอกจำแป่,ทางหลวงชนบทมส.,4001,ตำบลหมอกจำแป่,อำเภอเมืองแม่ฮ่องสอน,โรงเรียนชุมชนบ้านหมอกจำแป่ ทางหลวงชนบทมส. 4001 ตำบลหมอกจำแป่ อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.43507132, 97.96231326
โรงเรียนตำรวจตระเวนชายแดนบำรุงที่,60,ทางหลวงชนบทมส.,3007,ตำบลแม่เงา,โรงเรียนตำรวจตระเวนชายแดนบำรุงที่ 60 ทางหลวงชนบทมส. 3007 ตำบลแม่เงา อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.87171565, 97.80246505
โรงเรียนไทยรัฐวิทยา,99,(บ้านแม่สุยะ),ทางหลวงแผ่นดินหมายเลข1095,ตำบลห้วยผา,โรงเรียนไทยรัฐวิทยา 99 (บ้านแม่สุยะ) ทางหลวงแผ่นดินหมายเลข1095 ตำบลห้วยผา อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.51451410, 98.08142949
โรงเรียนบ้านกึ้ดสามสิบ,ตำบลสบป่อง,อำเภอปางมะผ้า,จังหวัดแม่ฮ่องสอน,58150,โรงเรียนบ้านกึ้ดสามสิบ ตำบลสบป่อง อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน 58150,19.45653278, 98.25260183
โรงเรียนบ้านแก่นฟ้า,ถนนอบจ.,มส.,3015,ตำบลห้วยโป่ง,โรงเรียนบ้านแก่นฟ้า ถนนอบจ. มส. 3015 ตำบลห้วยโป่ง อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.05629433, 97.91715408
โรงเรียนบ้านแกงหอม,ตำบลเมืองแปง,อำเภอปาย,จังหวัดแม่ฮ่องสอน,58130,โรงเรียนบ้านแกงหอม ตำบลเมืองแปง อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.18437714, 98.19835331
โรงเรียนบ้านกุงไม้สักมิตรภาพที่,98,ทางหลวงชนบทมส.,4001,ตำบลปางหมู,โรงเรียนบ้านกุงไม้สักมิตรภาพที่ 98 ทางหลวงชนบทมส. 4001 ตำบลปางหมู อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.38678139, 97.94859521
