โรงเรียนบ้านแม่ออกเหนือ,แม่คะตวน,สบเมย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่อุมป๊อก,ป่าแป๋,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่อุมพาย,แม่โถ,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่อุมลอง,ป่าแป๋,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่อุมลองหลวง,ป่าแป๋,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ฮุ,แม่ลาน้อย,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไร่วิทยา,แม่สะเรียง,แม่สะเรียง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านละอูบ,ห้วยห้อม,แม่ลาน้อย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเลโคะ,สบเมย,สบเมย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเวฬุวัน,สบเมย,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านศรีมูลเมือง,แม่คง,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสบเมย,แม่สามแลบ,สบเมย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านสบหาร,บ้านกาศ,แม่สะเรียง,ประถมศึกษา
โรงเรียนบ้านส้มป่อย,ขุนแม่ลาน้อย,แม่ลาน้อย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านสันติสุข,ป่าแป๋,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสาม,ห้วยห้อม,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสุดห้วยนา,แม่เหาะ,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเสาหิน,เสาหิน,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองม่วน,แม่นาจาง,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยกระต่าย,แม่สามแลบ,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยกองก้าด,แม่สามแลบ,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยกองเป๊าะ,แม่ลาหลวง,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยกองมูล,สบเมย,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยกองมูล สาขาบ้านขุนแม่คะตวน,สบเมย,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยกองมูล สาขาบ้านห้วยทิชะ,สบเมย,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยกุ้ง,ป่าโปง,สบเมย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยกู่ป๊ะ,แม่ลาหลวง,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยไก่ป่า,กองก๋อย,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยไก่ป่าวิทยา,แม่ลาหลวง,แม่ลาน้อย,ประถมศึกษา
โรงเรียนบ้านห้วยเดื่อ,ป่าแป๋,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยทราย,แม่ยวม,แม่สะเรียง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยน้ำใส,สบเมย,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยปลากั้ง,แม่เหาะ,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยปางผาง,แม่เหาะ,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยผึ้ง,ท่าผาปุ้ม,แม่ลาน้อย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยผึ้งใหม่,แม่โถ,แม่ลาน้อย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยโผ,แม่ยวม,แม่สะเรียง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยม่วง,แม่สวด,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยมะกอก,สันติคีรี,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยไม้ซาง,แม่โถ,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยวอก,กองก๋อย,สบเมย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยสิงห์,แม่ยวม,แม่สะเรียง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยหมากหนุน,ท่าผาปุ้ม,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยหมูพิทยา,แม่คง,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยห้อม,แม่คง,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยห้า,ห้วยห้อม,แม่ลาน้อย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยเหี้ยะ,ป่าโปง,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยแห้ง,แม่คง,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยฮากไม้ใต้,ป่าแป๋,แม่สะเรียง,อนุบาล–มัธยมศึกษาตอนต้น
