โรงเรียนบ้านห้วยช่างคำ สาขาบ้านห้วยช่างเหล็ก,ผาบ่อง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยเดื่อ,ผาบ่อง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยตอง,ห้วยปูลิง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยนา,แม่เงา,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยปมฝาด,ห้วยปูลิง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยโป่ง,ห้วยโป่ง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยโป่งกาน,ผาบ่อง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยโป่งอ่อน,หมอกจำแป่,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยปูลิง,ห้วยปูลิง,เมืองแม่ฮ่องสอน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยปูเลย,ห้วยปูลิง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยผา,ห้วยผา,เมืองแม่ฮ่องสอน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยผึ้ง,ห้วยผา,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยมะเขือส้ม,หมอกจำแป่,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยส้าน,แม่กิ๊,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยเสือเฒ่า (เจ้ากอแก้วอุปถัมภ์),ผาบ่อง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยหมีศรีสวัสดิ์,เมืองแปง,ปาย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยแห้ง,ถ้ำลอด,ปางมะผ้า,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยเฮี๊ยะ,ปางมะผ้า,ปางมะผ้า,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหว่าน้อย,แม่ยวมน้อย,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหัวน้ำแม่ฮ่องสอน,ห้วยปูลิง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหัวปอน,แม่ยวมน้อย,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหัวแม่สุริน,แม่อูคอ,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านใหม่,ปางหมู,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านใหม่สหสัมพันธ์,เวียงใต้,ปาย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านใหม่ห้วยหวาย,ห้วยโป่ง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนปางตองประชาสรรค์,โป่งสา,ปาย,อนุบาล–ประถมศึกษา
โรงเรียนร่มเกล้าปางตอง ในโครงการตามพระราชดำริ,หมอกจำแป่,เมืองแม่ฮ่องสอน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนศูนย์ปางมะผ้า ในโครงการตามพระราชดำริ,สบป่อง,ปางมะผ้า,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนสังวาลย์วิทย์ 3,เวียงเหนือ,ปาย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนเสรีวิทยา,ห้วยโป่ง,เมืองแม่ฮ่องสอน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนห้วยต้นนุ่นวิทยา,แม่เงา,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลขุนยวม,ขุนยวม,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลปางมะผ้า,สบป่อง,ปางมะผ้า,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนอนุบาลปาย (เวียงใต้),เวียงใต้,ปาย,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลเมือง(ป่าปุ๊มิตรภาพที่ 29),ผาบ่อง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลเมือง (ป่าปุ๊มิตรภาพที่ 29) สาขาบ้านห้วยแก้วล่าง,ผาบ่อง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลแม่ฮ่องสอน,จองคำ,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนเจ้าพ่อหลวงอุปถัมภ์ 10,ป่าแป๋,แม่สะเรียง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านน้ำดิบ,แม่ยวม,แม่สะเรียง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านผาผ่า,แม่คะตวน,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนแม่ลาศึกษา,แม่ลาหลวง,แม่ลาน้อย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนดอนชัยวิทยา,บ้านกาศ,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนทองสวัสดิ์วิทยาคาร,แม่สะเรียง,แม่สะเรียง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนไทยรัฐวิทยา 33 (บ้านทุ่งพร้าว),แม่สะเรียง,แม่สะเรียง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกลอเซโล,แม่สามแลบ,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกอกหลวง,แม่นาจาง,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกองก๋อย,กองก๋อย,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกองแปใต้,ป่าโปง,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกอมูเดอ,แม่สามแลบ,สบเมย,อนุบาล–ประถมศึกษา
