school_name,province,district,sub_district,postal_code,formatted_address,gps_latitude,gps_longitude
โรงเรียนพุทธเกษตร,ซอยเทศบาล,31,,ตำบลขุนยวม,โรงเรียนพุทธเกษตร ซอยเทศบาล 31  ตำบลขุนยวม อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.83267561, 97.94346689
โรงเรียนอนุบาลจรัสศรี,ถนนมรรคสันติ,ตำบลจองคำ,อำเภอเมืองแม่ฮ่องสอน,จังหวัดแม่ฮ่องสอน,โรงเรียนอนุบาลจรัสศรี ถนนมรรคสันติ ตำบลจองคำ อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.30338265, 97.96308081
โรงเรียนอนุบาลธารทิพย์,ทางหลวงแผ่นดินหมายเลข108,ตำบลบ้านกาศ,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,โรงเรียนอนุบาลธารทิพย์ ทางหลวงแผ่นดินหมายเลข108 ตำบลบ้านกาศ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.16899229, 97.93518193
โรงเรียนอนุบาลกฤษณพรรณ,ถนนแหล่งพาณิชย์,ตำบลบ้านกาศ,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,โรงเรียนอนุบาลกฤษณพรรณ ถนนแหล่งพาณิชย์ ตำบลบ้านกาศ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.16776507, 97.93198979
โรงเรียนอนุบาลบรรณวิทย์,ทางหลวงแผ่นดินหมายเลข1095,ตำบลจองคำ,อำเภอเมืองแม่ฮ่องสอน,จังหวัดแม่ฮ่องสอน,โรงเรียนอนุบาลบรรณวิทย์ ทางหลวงแผ่นดินหมายเลข1095 ตำบลจองคำ อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.30838378, 97.96464894
โรงเรียนอนุบาลสิริอัมพร,(แผนกประถมศึกษา),ทางหลวงแผ่นดินหมายเลข1095,ตำบลเวียงใต้,อำเภอปาย,โรงเรียนอนุบาลสิริอัมพร (แผนกประถมศึกษา) ทางหลวงแผ่นดินหมายเลข1095 ตำบลเวียงใต้ อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.35631081, 98.43563810
โรงเรียนเทศบาล,2,เฉลิมพระเกียรติ,ถนนขุนลุมประพาส,ตำบลจองคำ,โรงเรียนเทศบาล 2 เฉลิมพระเกียรติ ถนนขุนลุมประพาส ตำบลจองคำ อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.29735121, 97.96453978
โรงเรียนเทศบาลเมืองแม่ฮ่องสอน,ถนนนาวาคชสาร,ตำบลจองคำ,อำเภอเมืองแม่ฮ่องสอน,จังหวัดแม่ฮ่องสอน,โรงเรียนเทศบาลเมืองแม่ฮ่องสอน ถนนนาวาคชสาร ตำบลจองคำ อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.29543213, 97.96189422
โรงเรียนองค์การบริหารส่วนจังหวัดบ้านจองคำ,ทางหลวงแผ่นดินหมายเลข1095,ตำบลจองคำ,อำเภอเมืองแม่ฮ่องสอน,จังหวัดแม่ฮ่องสอน,โรงเรียนองค์การบริหารส่วนจังหวัดบ้านจองคำ ทางหลวงแผ่นดินหมายเลข1095 ตำบลจองคำ อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.31072732, 97.96350980
โรงเรียนอนุบาลเทศบาลตำบลแม่ยวม,ถนนชลประทาน,ตำบลแม่ยวม,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,โรงเรียนอนุบาลเทศบาลตำบลแม่ยวม ถนนชลประทาน ตำบลแม่ยวม อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.13462232, 97.92580497
โรงเรียนเทศบาลตำบลขุนยวม,สนามกีฬากลางเทศบาลตำบลขุนยวม,ซอยเทศบาล,20,,โรงเรียนเทศบาลตำบลขุนยวม สนามกีฬากลางเทศบาลตำบลขุนยวม ซอยเทศบาล 20  ตำบลขุนยวม อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.83109627, 97.93178714
