โรงเรียนบ้านปางบอนวัฒนาคาร,นาปู่ป้อม,ปางมะผ้า,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปางปึงราษฎร์บำรุง,ทุ่งยาว,ปาย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปางแปก,แม่นาเติง,ปาย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่ายาง,แม่นาเติง,ปาย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าลาน,ห้วยโป่ง,เมืองแม่ฮ่องสอน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านโป่งสา,โป่งสา,ปาย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านผามอน,ถ้ำลอด,ปางมะผ้า,อนุบาล–ประถมศึกษา
โรงเรียนบ้านผาสำราญ,เมืองแปง,ปาย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านพัฒนา,แม่อูคอ,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแพมบก,ทุ่งยาว,ปาย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านมะหินหลวง,เมืองปอน,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเมืองแปง,เมืองแปง,ปาย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเมืองแพม,ถ้ำลอด,ปางมะผ้า,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่กิ๊,แม่กิ๊,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่โกปี่,แม่ยวมน้อย,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่โข่จู,เมืองปอน,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่จ๋า,ห้วยโป่ง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่แจ๊ะ,แม่ยวมน้อย,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่นาเติง,แม่นาเติง,ปาย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ปิง,แม่ฮี้,ปาย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่ละนา,ปางมะผ้า,ปางมะผ้า,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่ลาก๊ะ,เมืองปอน,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่สะงา,หมอกจำแป่,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่สะเป่ใต้,ขุนยวม,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่สุริน,ขุนยวม,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่หาด,แม่ยวมน้อย,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่เหมืองหลวง,โป่งสา,ปาย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่ออ,แม่ยวมน้อย,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่อีแลบ,ทุ่งยาว,ปาย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่อูคอ,แม่อูคอ,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่อูคอหลวง,แม่อูคอ,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไม้ซางหนาม,ห้วยโป่ง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไม้สะเป่,ปางหมู,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านยอดดอยวิทยา,ห้วยโป่ง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านยาป่าแหน,ปางมะผ้า,ปางมะผ้า,อนุบาล–ประถมศึกษา
โรงเรียนบ้านรักไทย,หมอกจำแป่,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านลุกป่าก๊อ,สบป่อง,ปางมะผ้า,อนุบาล–ประถมศึกษา
โรงเรียนบ้านวนาหลวง,ถ้ำลอด,ปางมะผ้า,อนุบาล–มัธยมศึกษาตอนต้น
