hospital_name,province,district,sub_district,postal_code,formatted_address,gps_latitude,gps_longitude
สถานบริการสาธารณสุขชุมชนบ้านห้วยกองเป๊าะ,โรงเรียนบ้านห้วยกองเป๊าะ,ตำบลแม่ลาหลวง,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,สถานบริการสาธารณสุขชุมชนบ้านห้วยกองเป๊าะ โรงเรียนบ้านห้วยกองเป๊าะ ตำบลแม่ลาหลวง อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.532304,97.84691899
สำนักงานสาธารณสุขชุมชนบ้านแม่ปุ้น,ตำบลป่าแป๋,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,สำนักงานสาธารณสุขชุมชนบ้านแม่ปุ้น ตำบลป่าแป๋ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.2502422,98.12699218
